Code,Name
0206,"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate"
020610,"De animale din specia bovine, proaspete sau refrigerate"
020621,Limbă
020622,Ficat
020629,Altele
02062910,Destinate fabricării produselor farmaceutice
02062991,Mușchii pilieri diafragmatici și diafragma
02062999,Altele
020630,"Din specia porcine, proaspete sau refrigerate"
0206300010,Din specia porcine domestice
0206300090,Altele
020641,Ficat
0206410010,Din specia porcine domestice
0206410090,Altele
020649,Altele
020680,"Altele, proaspete sau refrigerate"
02068010,Destinate fabricării de produse farmaceutice
02068091,"De cai, măgari sau catâri"
02068099,Din speciile ovine sau caprine
020690,"Altele, congelate"
02069010,Destinate fabricării de produse farmaceutice
02069091,"De cai, măgari sau catâri"
02069099,Din speciile ovine sau caprine
0207,"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105"
020711,"Netranșate în bucăți, proaspete sau refrigerate"
02071110,"Fără pene, eviscerate, cu cap și picioare, denumite ""pui 83 %"""
02071130,"Fără pene, eviscerate, fără cap și picioare, dar cu gât, inimă, ficat și pipotă, denumite ""pui 70 %"""
02071190,"Fără pene, eviscerate, fără cap și picioare și fără gât, inimă, ficat și pipotă, denumite ""pui 65 %"" sau altfel prezentate"
020712,"Netranșate în bucăți, congelate"
02071210,"Fără pene, eviscerate, fără cap și picioare, dar cu gât, inimă, ficat și pipotă, denumite ""pui 70 %"""
02071290,"Fără pene, eviscerate, fără cap și picioare și fără gât, inimă, ficat și pipotă, denumite ""pui 65 %"", sau altfel prezentate"
020713,"Bucăți și organe, proaspete sau refrigerate"
02071310,Dezosate
02071320,Jumătăți sau sferturi
02071330,"Aripi întregi, cu sau fără vârfuri"
02071340,"Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi"
02071350,Piept și bucăți de piept
02071360,Pulpe și bucăți de pulpe
02071370,Altele
02071391,Ficat
0207,"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105"
020713,"Bucăți și organe, proaspete sau refrigerate"
02071391,Ficat
02071399,Altele
020714,"Bucăți și organe, congelate"
02071410,Dezosate
02071420,Jumătăți sau sferturi
02071430,"Aripi întregi, cu sau fără vârfuri"
02071440,"Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi"
02071450,Piept și bucăți de piept
02071460,Pulpe și bucăți de pulpe
02071470,Altele
02071491,Ficat
02071499,Altele
020724,"Netranșate în bucăți, proaspete sau refrigerate"
02072410,"Fără pene, eviscerate, fără cap și picioare, cu gât, inimă, ficat și pipotă, denumite ""curcani 80 %"""
02072490,"Fără pene, eviscerate, fără cap și gât, fără picioare, inimă, ficat și pipotă, denumite ""curcani 73 %"", sau altfel prezentate"
020725,"Netranșate în bucăți, congelate"
02072510,"Fără pene, eviscerate, fără cap și picioare, cu gât, inimă, ficat și pipotă, denumite ""curcani 80 %"""
02072590,"Fără pene, eviscerate, fără cap și gât, fără picioare, inimă, ficat și pipotă, denumite ""curcani 73 %"", sau altfel prezentați"
020726,"Bucăți și organe, proaspete sau refrigerate"
02072610,Dezosate
02072620,Jumătăți sau sferturi
02072630,"Aripi întregi, cu sau fără vârfuri"
02072640,"Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi"
02072650,Piept și bucăți de piept
02072660,Copane și bucăți de copane
02072670,Altele
02072680,Altele
02072691,Ficat
02072699,Altele
020727,"Bucăți și organe, congelate"
02072710,Dezosate
0207,"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105"
